id_petak,rezim,hari,fase,tma,irigasi,etc,perkolasi,limpasan,hujan_mm
PTK-07,FL,22,pertumbuhan,8.739559355017079,0.0,3.905,1.278247889760775,0.0,0.0
PTK-07,FL,23,pertumbuhan,12.791807244777853,11.260440644982921,5.372,1.8361927552221458,0.0,0.0
PTK-07,FL,24,pertumbuhan,7.884396055324891,0.0,3.733,1.1744111894529625,0.0,0.0
PTK-07,FL,25,pertumbuhan,15.148807244777855,12.115603944675108,3.015,1.8361927552221458,0.0,0.0
PTK-07,FL,26,pertumbuhan,9.585000739121963,0.0,4.173,1.3908065056558925,0.0,0.0
PTK-07,FL,27,pertumbuhan,14.264807244777854,10.414999260878037,3.899,1.8361927552221458,0.0,0.0
PTK-07,FL,28,pertumbuhan,9.40916045890278,0.0,3.546,1.3096467858750738,0.0,0.0
PTK-07,FL,29,pertumbuhan,14.162807244777854,10.59083954109722,4.001,1.8361927552221458,0.0,0.0
PTK-07,FL,30,pertumbuhan,8.694525041954414,0.0,4.168,1.3002822028234406,0.0,0.0
PTK-07,FL,31,pertumbuhan,14.756807244777853,11.305474958045586,3.407,1.8361927552221458,0.0,0.0
PTK-07,FL,32,pertumbuhan,9.069990117124316,0.0,4.332,1.3548171276535383,0.0,0.0
PTK-07,FL,33,pertumbuhan,13.294807244777854,10.930009882875684,4.869,1.8361927552221458,0.0,0.0
PTK-07,FL,34,pertumbuhan,9.338034843754944,0.0,2.827,1.2297724010229103,0.0,0.1
PTK-07,FL,35,pertumbuhan,13.770807244777854,10.661965156245056,4.393,1.8361927552221458,0.0,0.0
PTK-07,FL,36,pertumbuhan,26.970140700958513,0.0,3.791,3.1096665438193436,0.0,20.1
PTK-07,FL,37,pertumbuhan,20.606021852837415,0.0,3.888,2.4761188481210974,0.0,0.0
PTK-07,FL,38,pertumbuhan,14.58819045083095,0.0,4.126,1.891831402006464,0.0,0.0
PTK-07,FL,39,pertumbuhan,8.203853969950117,0.0,5.045,1.339336480880834,0.0,0.0
PTK-07,FL,40,pertumbuhan,13.339807244777855,11.796146030049883,4.824,1.8361927552221458,0.0,0.0
PTK-07,FL,41,pertumbuhan,7.709084373831806,0.0,4.406,1.2247228709460496,0.0,0.0
PTK-07,FL,42,pertumbuhan,14.088807244777854,12.290915626168193,4.075,1.8361927552221458,0.0,0.0
PTK-07,FL,43,pertumbuhan,10.22123317249207,0.0,3.119,1.348574072285783,0.0,0.6
PTK-07,FL,44,pertumbuhan,10.356329558439338,0.0,4.194,1.4709036140527327,0.0,5.8
PTK-07,FL,45,pertumbuhan,50.0,0.0,3.204,6.266588891663075,8.785740666776256,57.9
PTK-07,FL,46,pertumbuhan,40.47751811194463,0.0,4.932,4.590481888055365,0.0,0.0
PTK-07,FL,47,pertumbuhan,31.775291836618337,0.0,4.986,3.7162262753262962,0.0,0.0
PTK-07,FL,48,pertumbuhan,24.148013803344938,0.0,4.71,2.917278033273399,0.0,0.0
PTK-07,FL,49,pertumbuhan,17.08799340340962,0.0,4.843,2.2170203999353175,0.0,0.0
PTK-07,FL,50,pertumbuhan,10.81615091897839,0.0,4.703,1.568842484431228,0.0,0.0
PTK-07,FL,51,reproduktif,8.123504745615303,0.0,3.516,1.1766461733630884,0.0,2.0
PTK-07,FL,52,reproduktif,2.834688717569726,0.0,4.543,0.745816028045577,0.0,0.0
PTK-07,FL,53,reproduktif,5.778903622388928,7.165311282430274,3.303,0.9180963776110729,0.0,0.0
PTK-07,FL,54,reproduktif,0.7843445741610493,0.0,4.464,0.5305590482278781,0.0,0.0
PTK-07,FL,55,reproduktif,7.467885276226922,0.0,3.507,1.1094592979341285,0.0,11.3
PTK-07,FL,56,reproduktif,2.193261434175021,0.0,4.589,0.6856238420519004,0.0,0.0
PTK-07,FL,57,reproduktif,3.526903622388927,7.806738565824979,5.555,0.9180963776110729,0.0,0.0
PTK-07,FL,58,reproduktif,4.256903622388927,6.473096377611073,4.825,0.9180963776110729,0.0,0.0
PTK-07,FL,59,reproduktif,4.6719036223889265,5.743096377611073,4.41,0.9180963776110729,0.0,0.0
PTK-07,FL,60,reproduktif,11.151538334924865,0.0,4.353,1.5673652874640627,0.0,12.4
PTK-07,FL,61,reproduktif,6.021719639916312,0.0,4.106,1.0238186950085535,0.0,0.0
PTK-07,FL,62,reproduktif,1.42286774107665,0.0,4.046,0.552851898839662,0.0,0.0
PTK-07,FL,63,reproduktif,3.9379036223889266,8.57713225892335,5.144,0.9180963776110729,0.0,0.0
PTK-07,FL,64,reproduktif,3.9139036223889274,6.0620963776110734,5.168,0.9180963776110729,0.0,0.0
PTK-07,FL,65,reproduktif,3.3239036223889276,6.086096377611073,5.758,0.9180963776110729,0.0,0.0
PTK-07,FL,66,reproduktif,4.011903622388926,6.676096377611072,5.07,0.9180963776110729,0.0,0.0
PTK-07,FL,67,reproduktif,4.753903622388927,5.988096377611074,4.328,0.9180963776110729,0.0,0.0
PTK-07,FL,68,reproduktif,3.6409036223889277,5.246096377611073,5.441,0.9180963776110729,0.0,0.0
PTK-07,FL,69,reproduktif,3.380903622388928,6.359096377611072,5.701,0.9180963776110729,0.0,0.0
PTK-07,FL,70,reproduktif,4.219903622388927,6.619096377611072,4.862,0.9180963776110729,0.0,0.0
PTK-07,FL,71,reproduktif,2.484903622388927,5.780096377611073,6.597,0.9180963776110729,0.0,0.0
PTK-07,FL,72,reproduktif,3.6409036223889277,7.515096377611073,5.441,0.9180963776110729,0.0,0.0
PTK-07,FL,73,reproduktif,3.125903622388927,6.359096377611072,5.956,0.9180963776110729,0.0,0.0
PTK-07,FL,74,reproduktif,2.991903622388927,6.874096377611073,6.09,0.9180963776110729,0.0,0.0
PTK-07,FL,75,reproduktif,3.247903622388927,7.008096377611073,5.834,0.9180963776110729,0.0,0.0
PTK-07,FL,76,reproduktif,3.7649036223889265,6.752096377611073,5.317,0.9180963776110729,0.0,0.0
PTK-07,FL,77,reproduktif,3.3979036223889274,6.2350963776110735,5.684,0.9180963776110729,0.0,0.0
PTK-07,FL,78,reproduktif,3.5519036223889273,6.602096377611073,5.53,0.9180963776110729,0.0,0.0
PTK-07,FL,79,reproduktif,3.7019036223889277,6.448096377611073,5.38,0.9180963776110729,0.0,0.0
PTK-07,FL,80,reproduktif,4.063903622388928,6.298096377611072,5.018,0.9180963776110729,0.0,0.0
PTK-07,FL,81,reproduktif,3.1109036223889266,5.936096377611072,5.971,0.9180963776110729,0.0,0.0
PTK-07,FL,82,reproduktif,3.7699036223889273,6.889096377611073,5.312,0.9180963776110729,0.0,0.0
PTK-07,FL,83,reproduktif,3.707903622388928,6.230096377611073,5.374,0.9180963776110729,0.0,0.0
PTK-07,FL,84,reproduktif,3.2759036223889275,6.292096377611072,5.806,0.9180963776110729,0.0,0.0
PTK-07,FL,85,reproduktif,2.8239036223889276,6.7240963776110725,6.258,0.9180963776110729,0.0,0.0
PTK-07,FL,86,reproduktif,4.511903622388926,7.176096377611072,4.57,0.9180963776110729,0.0,0.0
PTK-07,FL,87,reproduktif,3.532903622388927,5.488096377611074,5.549,0.9180963776110729,0.0,0.0
PTK-07,FL,88,reproduktif,3.244903622388927,6.467096377611073,5.837,0.9180963776110729,0.0,0.0
PTK-07,FL,89,reproduktif,3.1249036223889277,6.755096377611073,5.957,0.9180963776110729,0.0,0.0
PTK-07,FL,90,reproduktif,3.3869036223889264,6.875096377611072,5.695,0.9180963776110729,0.0,0.0
PTK-07,FL,91,pemasakan,-2.2900467723143825,0.0,5.366,0.31095039470330943,0.0,0.0
PTK-07,FL,92,pemasakan,3.2629036223889276,12.290046772314383,5.819,0.9180963776110729,0.0,0.0
PTK-07,FL,93,pemasakan,-3.338662377232004,0.0,6.302,0.2995659996209322,0.0,0.0
PTK-07,FL,94,pemasakan,3.1619036223889267,13.338662377232005,5.92,0.9180963776110729,0.0,0.0
PTK-07,FL,95,pemasakan,-3.565389603818134,0.0,6.437,0.29029322620706033,0.0,0.0
PTK-07,FL,96,pemasakan,-4.744929099306582,0.0,4.958,0.021539495488446983,0.0,3.8
PTK-07,FL,97,pemasakan,4.6399036223889265,10.94492909930658,4.442,0.9180963776110729,0.0,3.8
PTK-07,FL,98,pemasakan,-0.5820842484290507,0.0,4.796,0.4259878708179769,0.0,0.0
PTK-07,FL,99,pemasakan,3.332903622388928,10.582084248429052,5.749,0.9180963776110729,0.0,0.0
PTK-07,FL,100,pemasakan,-2.620089051875282,0.0,5.647,0.3059926742642098,0.0,0.0
PTK-07,FL,101,pemasakan,2.978903622388927,12.620089051875283,6.103,0.9180963776110729,0.0,0.0
PTK-07,FL,102,pemasakan,-2.787588440107851,0.0,5.493,0.2734920624967777,0.0,0.0
PTK-07,FL,103,pemasakan,2.6289036223889273,12.78758844010785,6.453,0.9180963776110729,0.0,0.0
PTK-07,FL,104,pemasakan,-2.9204550668914626,0.0,5.308,0.2413586892803902,0.0,0.0
PTK-07,FL,105,pemasakan,3.189903622388927,12.920455066891464,5.892,0.9180963776110729,0.0,0.0
PTK-07,FL,106,pemasakan,-2.822960273675444,0.0,5.72,0.29286389606437135,0.0,0.0
PTK-07,FL,107,pemasakan,3.0919036223889265,12.822960273675445,5.99,0.9180963776110729,0.0,0.0
PTK-07,FL,108,pemasakan,-3.233962929174856,0.0,6.042,0.28386655156378277,0.0,0.0
PTK-07,FL,109,pemasakan,2.0529036223889268,13.233962929174856,7.029,0.9180963776110729,0.0,0.0
PTK-07,FL,110,pemasakan,-2.8135727155410653,0.0,4.678,0.18847633792999235,0.0,0.0
PTK-07,SRI,1,awal,14.266807244777855,0.0,3.897,1.8361927552221458,0.0,0.0
PTK-07,SRI,2,awal,9.868976839627258,0.0,3.088,1.309830405150596,0.0,0.0
PTK-07,SRI,3,awal,8.548023628953331,0.0,2.867,1.1539532106739256,0.0,2.7
PTK-07,SRI,4,awal,11.270022320349657,0.0,3.123,1.4550013086036744,0.0,7.3
PTK-07,SRI,5,awal,7.386325653558761,0.0,2.849,1.034696666790896,0.0,0.0
PTK-07,SRI,6,awal,9.416427125472758,0.0,3.195,1.2748985280860012,0.0,6.5
PTK-07,SRI,7,awal,7.406736796765911,0.0,2.235,0.9746903287068474,0.0,1.2
PTK-07,SRI,8,awal,34.05492314568977,0.0,3.187,3.7648136510761474,0.0,33.6
PTK-07,SRI,9,awal,40.0,0.0,2.317,7.056022654163518,27.481900491526247,42.8
PTK-07,SRI,10,awal,31.996614489555707,0.0,4.331,3.6723855104442915,0.0,0.0
PTK-07,SRI,11,awal,29.253949917956703,0.0,2.348,3.1946645715990067,0.0,2.8
PTK-07,SRI,12,awal,24.0947934453553,0.0,2.655,2.7041564726014005,0.0,0.2
PTK-07,SRI,13,awal,18.68865918720853,0.0,3.194,2.2121342581467722,0.0,0.0
PTK-07,SRI,14,awal,13.211860156990124,0.0,3.761,1.7157990302184047,0.0,0.0
PTK-07,SRI,15,awal,7.761884061826454,0.0,4.237,1.2129760951636692,0.0,0.0
PTK-07,SRI,16,awal,4.027268297766456,0.0,3.022,0.7126157640599988,0.0,0.0
PTK-07,SRI,17,awal,-0.4694737458182727,0.0,4.127,0.3697420435847295,0.0,0.0
PTK-07,SRI,18,awal,6.141903622388927,10.469473745818274,2.94,0.9180963776110729,0.0,0.0
PTK-07,SRI,19,awal,1.0340176756537671,0.0,4.544,0.5638859467351601,0.0,0.0
PTK-07,SRI,20,awal,-1.691543786571584,0.0,3.448,0.17756146222535105,0.0,0.9
PTK-07,SRI,21,pertumbuhan,-7.886975092838159,0.0,3.992,2.203431306266575,0.0,0.0
PTK-07,SRI,22,pertumbuhan,-13.765406399104734,0.0,3.675,2.203431306266575,0.0,0.0
PTK-07,SRI,23,pertumbuhan,-21.024837705371308,0.0,5.056,2.203431306266575,0.0,0.0
PTK-07,SRI,24,pertumbuhan,5.567903622388927,31.024837705371308,3.514,0.9180963776110729,0.0,0.0
PTK-07,SRI,25,pertumbuhan,2.2187164077286425,0.0,2.838,0.5111872146602845,0.0,0.0
PTK-07,SRI,26,pertumbuhan,-1.9119831419595492,0.0,3.927,0.2036995496881919,0.0,0.0
PTK-07,SRI,27,pertumbuhan,-7.785414448226124,0.0,3.67,2.203431306266575,0.0,0.0
PTK-07,SRI,28,pertumbuhan,-13.325845754492699,0.0,3.337,2.203431306266575,0.0,0.0
PTK-07,SRI,29,pertumbuhan,-19.295277060759275,0.0,3.766,2.203431306266575,0.0,0.0
PTK-07,SRI,30,pertumbuhan,-25.42170836702585,0.0,3.923,2.203431306266575,0.0,0.0
PTK-07,SRI,31,pertumbuhan,5.875903622388927,35.42170836702585,3.206,0.9180963776110729,0.0,0.0
PTK-07,SRI,32,pertumbuhan,1.259439039298222,0.0,4.077,0.5394645830907056,0.0,0.0
PTK-07,SRI,33,pertumbuhan,-3.439189602681945,0.0,4.583,0.11562864198016673,0.0,0.0
PTK-07,SRI,34,pertumbuhan,-8.203620908948519,0.0,2.661,2.203431306266575,0.0,0.1
PTK-07,SRI,35,pertumbuhan,-14.542052215215094,0.0,4.135,2.203431306266575,0.0,0.0
PTK-07,SRI,36,pertumbuhan,1.4796746119686564,0.0,3.568,0.5102731728162511,0.0,20.1
PTK-07,SRI,37,pertumbuhan,-2.316173778160493,0.0,3.66,0.13584839012914932,0.0,0.0
PTK-07,SRI,38,pertumbuhan,-8.402605084427067,0.0,3.883,2.203431306266575,0.0,0.0
PTK-07,SRI,39,pertumbuhan,-15.354036390693643,0.0,4.748,2.203431306266575,0.0,0.0
PTK-07,SRI,40,pertumbuhan,-22.09746769696022,0.0,4.54,2.203431306266575,0.0,0.0
PTK-07,SRI,41,pertumbuhan,4.934903622388926,32.09746769696022,4.147,0.9180963776110729,0.0,0.0
PTK-07,SRI,42,pertumbuhan,0.6468319084314231,0.0,3.835,0.4530717139575035,0.0,0.0
PTK-07,SRI,43,pertumbuhan,-1.8036392774306558,0.0,2.936,0.11447118586207906,0.0,0.6
PTK-07,SRI,44,pertumbuhan,-0.31854370773246465,0.0,3.948,0.36690443030180847,0.0,5.8
PTK-07,SRI,45,pertumbuhan,40.0,0.0,3.015,5.286532643950114,9.279923648317421,57.9
PTK-07,SRI,46,pertumbuhan,31.685614489555707,0.0,4.642,3.6723855104442915,0.0,0.0
PTK-07,SRI,47,pertumbuhan,24.084569701031505,0.0,4.692,2.9090447885242017,0.0,0.0
PTK-07,SRI,48,pertumbuhan,17.440374081147663,0.0,4.433,2.2111956198838425,0.0,0.0
PTK-07,SRI,49,pertumbuhan,11.281179654339292,0.0,4.558,1.6011944268083713,0.0,0.0
PTK-07,SRI,50,pertumbuhan,5.818458636756429,0.0,4.427,1.035721017582864,0.0,0.0
PTK-07,SRI,51,reproduktif,3.8096487814656204,0.0,3.291,0.7178098552908084,0.0,2.0
PTK-07,SRI,52,reproduktif,-0.791113693157782,0.0,4.251,0.3497624746234024,0.0,0.0
PTK-07,SRI,53,reproduktif,-5.534687172857713,0.0,3.091,1.6525734796999312,0.0,0.0
PTK-07,SRI,54,reproduktif,-11.364260652557643,0.0,4.177,1.6525734796999312,0.0,0.0
PTK-07,SRI,55,reproduktif,-4.997834132257574,0.0,3.281,1.6525734796999312,0.0,11.3
PTK-07,SRI,56,reproduktif,-10.944407611957505,0.0,4.294,1.6525734796999312,0.0,0.0
PTK-07,SRI,57,reproduktif,-17.794981091657437,0.0,5.198,1.6525734796999312,0.0,0.0
PTK-07,SRI,58,reproduktif,-23.96355457135737,0.0,4.516,1.6525734796999312,0.0,0.0
