hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_kering,hari_diairi,hari_limpas,di,rezim,bulan,tahun_tanam
1070.1000000000001,222.59262249713007,128.93983170766342,471.2554659650456,178.56,478.67709352253604,0.0,1292.6926224971303,1128.4925594875817,18.850634610282295,-31.90014553050389,29,24,44,DI Citameng I,SRI,3,2019
1446.1000000000001,34.19741692660992,34.19741692660992,446.0967127475312,192.0,643.5952588818726,0.0,1480.2974169266101,1281.6919716294037,30.797752512472183,10.773497781325311,0,11,69,DI Citameng I,SRI,3,2020
1053.3999999999999,189.23629073039774,147.72458012311898,460.26958906325456,187.67999999999998,384.43604004453357,0.0,1242.6362907303976,1032.3856291077882,21.811304849466396,-27.70635655141693,17,24,36,DI Citameng I,SRI,3,2021
997.8000000000001,150.8237753153889,150.82377531538896,473.17885068029625,192.0,281.42075960271194,0.0,1148.623775315389,946.5996102830081,26.58330450898799,-4.683732292566816,3,22,45,DI Citameng I,SRI,3,2022
1046.6000000000001,197.485786050314,132.89700621678512,470.5138692286484,180.95999999999998,399.02474836290025,0.0,1244.0857860503143,1050.4986175915487,17.465124106004144,-33.693581455275535,26,20,39,DI Citameng I,SRI,3,2023
824.4000000000001,172.05172506215771,140.46765534286322,507.82073067483867,175.67999999999998,173.2609785511621,0.0,996.4517250621578,856.7617092260008,13.203259326784282,-33.171984336096976,37,24,26,DI Citameng I,SRI,3,2024
1026.6000000000001,349.6496764283215,64.74016466944875,466.96369494786165,280.0,452.2953125036558,100.0,1376.2496764283217,1199.2590074515174,23.936767562464528,-4.956822708899752,10,69,38,DI Citameng I,FL,4,2015
1204.3,232.65824580346396,80.49428212144363,453.3547189583812,280.0,494.69700766384653,100.0,1436.9582458034638,1228.0517266222278,34.44868530156316,-4.162120366700851,4,46,51,DI Citameng I,FL,4,2016
572.9,455.34564272405044,179.34305903590518,475.9602599891641,280.0,99.35154483802572,100.0,1028.2456427240504,855.3118048271898,14.83584392363363,-4.685930201172124,11,73,6,DI Citameng I,FL,4,2017
400.9,587.7882812789497,193.0644720572959,500.7450496223698,280.0,36.74290396616295,100.0,988.6882812789497,817.4879535885328,8.042785143757508,-2.8098303818522794,10,77,7,DI Citameng I,FL,4,2018
576.5,511.0668992887382,164.90193612831433,489.6580327702703,280.0,145.21075207602578,100.0,1087.566899288738,914.8687848462961,23.182815106135944,-4.78442198892518,11,83,26,DI Citameng I,FL,4,2019
1046.7,304.7982553615822,134.77829540244852,461.40122981174125,280.0,435.2606393982602,100.0,1351.4982553615823,1176.6618692100014,33.08075152344572,-5.044627839129493,8,55,46,DI Citameng I,FL,4,2020
898.9,329.74197069731315,120.48817051813803,479.3489888909326,280.0,298.0622036816251,100.0,1228.6419706973131,1057.4111925725576,22.908895165672412,-4.728854794582526,5,57,34,DI Citameng I,FL,4,2021
864.3000000000001,260.47669045371265,122.56333607567663,482.63938079367654,280.0,185.29868195284175,100.0,1124.7766904537127,947.9380627465183,30.108516889930467,-4.082684791725829,4,53,29,DI Citameng I,FL,4,2022
837.5999999999999,386.48595797437576,159.0980993463584,502.7874272162251,280.0,271.4835253694779,100.0,1224.0859579743756,1054.270952585703,23.141038310535535,-1.055661755922654,5,64,24,DI Citameng I,FL,4,2023
661.0,361.31994462880334,158.1137958717653,510.7445147058928,280.0,56.51393242840692,100.0,1022.3199446288033,847.2584471342998,17.825123427637358,-2.17931660510948,3,65,10,DI Citameng I,FL,4,2024
1026.6000000000001,226.84677762986092,64.74016466944875,451.0231178530156,167.99999999999997,478.30695723079657,0.0,1253.4467776298611,1097.330075083812,5.729938774040357,-33.95062289507058,57,21,41,DI Citameng I,SRI,4,2015
1204.3,80.49428212144363,80.49428212144363,438.48522505550727,183.36,479.1107619304833,0.0,1284.7942821214435,1100.9559869859906,19.469072645337597,-32.04209797267548,19,11,47,DI Citameng I,SRI,4,2016
572.9,335.1357184196495,179.34305903590518,460.280524532551,167.51999999999998,111.24682590575365,0.0,908.0357184196495,739.0473504383046,3.5738278285479046,-33.20936030044457,61,29,11,DI Citameng I,SRI,4,2017
400.9,418.26621238188,193.0644720572959,484.3230906736551,159.83999999999997,36.74290396616295,0.0,819.16621238188,680.905994639818,-7.774562168407108,-34.389580494460965,80,32,7,DI Citameng I,SRI,4,2018
576.5,357.8459061764354,164.90193612831433,473.05244502225236,168.95999999999998,143.41800458657903,0.0,934.3459061764354,785.4304496088314,7.769449198179683,-34.425236759398004,53,33,23,DI Citameng I,SRI,4,2019
1046.7,146.0629200375006,134.77829540244852,446.5312202958203,184.79999999999998,416.78583899778585,0.0,1192.7629200375006,1048.117059293606,22.18736098965492,-29.981239698491457,19,21,43,DI Citameng I,SRI,4,2020
898.9,161.5312386640973,120.48817051813803,463.5071515380418,179.51999999999998,274.0230255601366,0.0,1060.4312386640972,917.0501770981784,8.618983644025192,-32.48821771379403,43,21,29,DI Citameng I,SRI,4,2021
864.3000000000001,122.56333607567663,122.56333607567663,467.05169139901636,187.2,169.8543751623224,0.0,986.8633360756767,824.1060665613388,21.149498793523357,-20.828628069201123,13,20,32,DI Citameng I,SRI,4,2022
837.5999999999999,236.7831722857743,159.0980993463584,486.48741735376086,171.35999999999996,267.42040747795625,0.0,1074.3831722857742,925.2678248317171,7.612159666098332,-29.1252861404786,51,24,28,DI Citameng I,SRI,4,2023
661.0,237.1721022337775,158.1137958717653,493.86894042943504,170.87999999999997,88.56303633863985,0.0,898.1721022337775,753.3119767680748,2.2250783321424383,-29.245468963757794,57,27,14,DI Citameng I,SRI,4,2024
626.4,522.2849404730179,60.40223760148658,485.9749603879433,280.0,199.54925756183326,100.0,1148.6849404730178,965.5242179497766,10.872551125406394,-5.185706808983682,9,82,17,DI Citameng I,FL,5,2015
862.8,261.926736288079,111.34486728823775,449.14494983900994,280.0,208.20862319381047,100.0,1124.7267362880789,937.3535730328205,27.348245569004465,-5.308429878057378,6,55,26,DI Citameng I,FL,5,2016
350.5,595.1640419931916,180.31998946990416,473.53124337598706,280.0,17.29697723873241,100.0,945.6640419931916,770.8282206147195,10.566949590758531,-4.011279797712897,8,86,4,DI Citameng I,FL,5,2017
214.1,748.3339016056236,227.0130759401302,508.63353335149446,280.0,4.057186185085589,100.0,962.4339016056236,792.69071953658,7.7237204979077285,-4.432556202938004,10,96,1,DI Citameng I,FL,5,2018
383.5,662.9003096591858,126.68588509266476,511.834281440712,280.0,75.20213791235527,100.0,1046.400309659186,867.0364193530672,7.384837512353264,-2.8728654224680685,10,91,9,DI Citameng I,FL,5,2019
800.3,365.47594099715604,134.12725941666864,461.504534299878,280.0,227.57349276553046,100.0,1165.7759409971559,969.0780270654085,23.594702679276836,-3.6822091132576564,7,62,23,DI Citameng I,FL,5,2020
680.8999999999999,506.4900003961648,241.11642200084856,483.46776504273146,280.0,254.709906097331,100.0,1187.3900003961646,1018.1776711400624,24.375398871873763,-5.306027679357569,13,73,23,DI Citameng I,FL,5,2021
603.0,417.8177462014211,161.86419952971488,483.9229243198847,280.0,88.2035556967719,100.0,1020.8177462014211,852.1264800166566,18.528158083809604,-5.375395644230583,11,69,15,DI Citameng I,FL,5,2022
